id produit;nom;ean13;action;date;employé;
"1912";"Gelée royale 100% fraiche  BIO origine Italie Pollenenergie";"";"Modification produit";"2021-04-20 16:51:16";"C. Nauts";
"1912";"Gelée royale 100% fraiche  BIO origine Italie Pollenenergie";"";"Modification stock à 1";"2021-04-20 16:51:16";"C. Nauts";
"1957";"Marron au naturel 430g Verfeuille";"3527860004452";"Modification produit";"2021-04-20 16:50:59";"C. Nauts";
"1957";"Marron au naturel 430g Verfeuille";"3527860004452";"Modification stock à 3";"2021-04-20 16:50:59";"C. Nauts";
"1816";"Boisson soja nature 1L";"3259010500018";"Modification produit";"2021-04-20 16:50:35";"C. Nauts";
"1816";"Boisson soja nature 1L";"3259010500018";"Modification stock à 5";"2021-04-20 16:50:35";"C. Nauts";
"1815";"LIMA rice riz  cuisine 200 ML";"5411788047005";"Modification produit";"2021-04-20 16:50:23";"C. Nauts";
"1815";"LIMA rice riz  cuisine 200 ML";"5411788047005";"Modification stock à 7";"2021-04-20 16:50:23";"C. Nauts";
"1814";"LIMA SOY soja cuisine 200 ML";"5411788046992";"Modification produit";"2021-04-20 16:50:07";"C. Nauts";
"1814";"LIMA SOY soja cuisine 200 ML";"5411788046992";"Modification stock à 7";"2021-04-20 16:50:07";"C. Nauts";
"1817";"Boisson soja calcium 1L";"3259010500049";"Modification produit";"2021-04-20 16:49:54";"C. Nauts";
"1817";"Boisson soja calcium 1L";"3259010500049";"Modification stock à 9";"2021-04-20 16:49:54";"C. Nauts";
"1573";"Beurre de baratte  demi sel  250g tante helene";"3273220142219";"Modification produit";"2021-04-20 16:39:22";"C. Nauts";
"1573";"Beurre de baratte  demi sel  250g tante helene";"3273220142219";"Modification stock à 10";"2021-04-20 16:39:22";"C. Nauts";
"1587";"Beurre doux Biogam 250g";"3382323511003";"Modification produit";"2021-04-20 16:39:02";"C. Nauts";
"1587";"Beurre doux Biogam 250g";"3382323511003";"Modification stock à 1";"2021-04-20 16:39:01";"C. Nauts";
"1747";"Burrata des Pouilles 125g miaterra";"3570513268527";"Modification produit";"2021-04-20 16:38:22";"C. Nauts";
"1747";"Burrata des Pouilles 125g miaterra";"3570513268527";"Modification stock à 0";"2021-04-20 16:38:22";"C. Nauts";
"1956";"Brebis Perail 150g";"3760013200077";"Modification produit";"2021-04-20 16:38:01";"C. Nauts";
"1956";"Brebis Perail 150g";"3760013200077";"Modification stock à 1";"2021-04-20 16:38:00";"C. Nauts";
"1558";"Lait UHT 1/2 écrémé  1L  Grandeur Nature";"3252920034192";"Modification produit";"2021-04-20 16:37:30";"C. Nauts";
"1558";"Lait UHT 1/2 écrémé  1L  Grandeur Nature";"3252920034192";"Modification stock à 6";"2021-04-20 16:37:30";"C. Nauts";
"1458";"Olives de Nice aux herbes  AOP Domaine de Peyrebelle 200g";"";"Modification produit";"2021-04-20 11:25:15";"C. Nauts";
"1458";"Olives de Nice aux herbes  AOP Domaine de Peyrebelle 200g";"";"Modification stock à 6";"2021-04-20 11:25:15";"C. Nauts";
"1245";"Olives de Nice AOP Domaine de Peyrebelle 200g";"";"Modification produit";"2021-04-20 11:25:00";"C. Nauts";
"1245";"Olives de Nice AOP Domaine de Peyrebelle 200g";"";"Modification stock à 6";"2021-04-20 11:25:00";"C. Nauts";
"1283";"Tapenade  verte varieté caillete  Domaine de Peyrebelle 130g";"";"Modification produit";"2021-04-20 11:23:47";"C. Nauts";
"1283";"Tapenade  verte varieté caillete  Domaine de Peyrebelle 130g";"";"Activation";"2021-04-20 11:23:47";"C. Nauts";
"1283";"Tapenade  verte varieté caillete  Domaine de Peyrebelle 130g";"";"Modification stock à 6";"2021-04-20 11:23:39";"C. Nauts";
"1457";"Tapenade  noires varieté caillete  Domaine de Peyrebelle 130g";"";"Modification produit";"2021-04-20 11:23:06";"C. Nauts";
"1457";"Tapenade  noires varieté caillete  Domaine de Peyrebelle 130g";"";"Modification stock à 16";"2021-04-20 11:23:06";"C. Nauts";
"1247";"Pate d'Olives noires varieté caillete  Domaine de Peyrebelle 130g";"";"Modification stock à 7";"2021-04-20 11:22:43";"C. Nauts";
