id_product;name;reference;ean13;price;wholesale_price;active;supp;sav_quantity;badge_danger;
"9";"Pommes de terre MONALISA (au kg) Saluzzo";"LP-MO-KUN-NO-P";"";"0.800000";"1.100000";"0";"SALUZZO Jean ";"3";"0";
"12";"Salade Feuille de chêne blonde Mandelieu BIO";"LS-MN-UUN-NN-P";"";"1.000000";"0.630000";"0";"ORSO Jean-Charles";"0";"1";
"15";"Pommes de terre DE MONTAGNE Monalisa (sac de 5 kg)";"LP-RO-FUN-NN-P";"";"6.900000";"5.500000";"0";"SALUZZO Jean ";"0";"1";
"18";"Potimarron BIO au Kg (vendue à la pièce)";"LF-MV-KUN-NO-P";"";"2.600000";"2.100000";"0";"ORSO Jean-Charles";"0";"1";
"19";"Blettes  de chez Manu (à la botte)";"LS-MN-LUN-NN-P";"";"1.250000";"1.000000";"0";"ORSO Manuel";"689";"0";
"22";"Champignons de Paris à l'hectogramme (100g)";"LX-MN-KDO-NO-X";"";"1.000000";"0.800000";"0";"BOSELLI Christian";"628";"0";
"24";"Oeufs  par 6";"OO-RO-BUN-NN";"3309730000104";"2.100000";"1.690000";"1";"La Poule Blanche";"990";"0";
"27";"Cébettes BIO à la botte";"LB-MN-LUN-NN-P";"";"1.300000";"0.950000";"0";"ORSO Jean-Charles";"857";"0";
"29";"Chou chinois  BIO à la pièce";"LC-MV-UUN-NN-P";"";"2.250000";"1.800000";"0";"";"41";"0";
"33";"Tortiglioni (paquet de 500g)";"SP-RO-UUN-NN-P";"";"1.000000";"0.690000";"0";"La Pelle d'Or";"0";"1";
"34";"Farfalle par paquet de 500 g";"SP-RO-UUN-NN-P";"";"1.100000";"0.820000";"0";"La Pelle d'Or";"0";"1";
"35";"Spaghettini N°3 par paquet de 500 g";"SP-RO-UUN-NN-P";"";"1.100000";"0.820000";"0";"La Pelle d'Or";"1";"0";
"36";"Riz Long    à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"";"0.220000";"0.180000";"0";"";"-6";"1";
"37";"Riz Basmati à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"";"0.300000";"0.240000";"0";"La Pelle d'Or";"2";"0";
"39";"Couscous MOYEN à l'hectogramme";"SR-RO-KDN-ON-P";"";"0.210000";"0.170000";"0";"La Pelle d'Or";"4";"0";
"40";"Pois chiches à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"";"0.250000";"0.200000";"0";"La Pelle d'Or";"15";"0";
"41";"lentilles blondes  à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"";"0.250000";"0.200000";"0";"";"4";"0";
"45";"Oeufs BIO par 6";"OO-RO-BUN-NN";"3309730000074";"2.800000";"2.270000";"1";"La Poule Blanche";"977";"0";
"46";"Saint Nectaire 250 g de fromage";"CR-RO-PQN-OO-S";"";"4.000000";"3.120000";"0";"GAEC Clavel";"0";"1";
"49";"Haricots blancs lingot  par hectogramme ";"SR-RO-KDN-ON-P";"";"0.340000";"0.260000";"0";"La Pelle d'Or";"9";"0";
"65";"Miel TOUTES FLEURS (pot de 500g)";"DS-RO-UUN-NN-P";"";"8.600000";"6.500000";"0";"";"0";"1";
"72";"Pain Bio aux olives et aux herbes locales  (450 g)";"OP-MV-UUN-NN-S";"";"4.000000";"1.100000";"0";"";"0";"1";
"76";"Blettes fines  BIO (à la botte)";"LS-MN-LUN-NN-P";"";"1.500000";"1.100000";"0";"ORSO Manuel";"901";"0";
"77";"Artichaut violet de Carros Bio  au 500g";"LE-MN-KMN-NO-P";"";"2.400000";"1.880000";"0";"NaturDis_M";"0";"1";
"78";"Oranges Bio Feuille de Sicile au kg";"FA-MV-KUN-NO-P";"";"1.800000";"1.400000";"0";"NaturDis_M";"0";"1";
"79";"Citron BIO (à l'hectogramme)";"FA-MV-KDN-NO-P";"";"0.320000";"0.240000";"0";"ORSO Manuel";"0";"1";
"80";"Poires comice au Kg";"FP-MN-KUN-NO";"";"2.600000";"1.800000";"0";"ORSO Manuel";"51";"0";
"81";"Poires Louise bonne au Kg";"FP-MN-KUN-NO";"";"2.600000";"1.800000";"0";"";"16";"0";
"82";"Clémentines Bio au Kg";"FA-MV-KUN-NO";"";"4.500000";"3.900000";"0";"ORSO Manuel";"-1";"1";
"83";"Poireaux Bio au 500g";"LB-MV-KMN-NO-P";"";"1.500000";"1.100000";"0";"ORSO Manuel";"461";"0";
"86";"Tomme de Vache à la portion de 200g de fromage";"CR-RO-PCN-OO-S";"";"2.500000";"2.100000";"0";"GAEC Serre-Lions";"1";"0";
"94";"Chou Brocoli Bio par 500g";"LC-MV-KMN-NO";"";"1.650000";"1.250000";"0";"VIDAL Yann";"999";"0";
"98";"Navet blanc fanne 500 g";"LR-MO-KMN-NO";"";"1.900000";"1.500000";"0";"ORSO Jean-Charles";"0";"1";
"100";"Endives (500g)";"LS-MN-KMN-NO-X";"";"3.300000";"2.640000";"0";"BOSELLI Christian";"527";"0";
"106";"Oranges amères";"FA-MN-KUN-NO";"";"1.200000";"1.000000";"0";"";"0";"1";
"109";"Pommes Fuji (au Kg)";"FP-MO-KUN-NO-P";"";"2.350000";"1.700000";"0";"GAEC du Val Alpin";"0";"1";
"111";"Chou Fleur Bio (au kg)";"LC-MV-KUN-NO-P";"";"2.200000";"1.500000";"0";"VIDAL Yann";"987";"0";
"116";"Oignons blancs (par 500g)";"LB-MV-KMN-NO-P";"";"1.500000";"1.150000";"0";"ORSO Jean-Charles";"805";"0";
"117";"Oignons rouges (par 500g )";"LB-MV-KMN-NO-P";"";"1.600000";"1.200000";"0";"ORSO Jean-Charles";"1000";"0";
"120";"Vin Côtes de Provence BLANC, Origines  Origine Domaine de Canta Rainette (bouteille)";"SA-RO-UUN-NN-P";"3000001234654";"7.200000";"6.000000";"1";"DOMAINE de Canta Rainette";"26";"0";
"121";"Vin Côtes de Provence ROUGE Grande réserve Domaine de Canta Rainette (bouteille)";"SA-RO-UUN-NN-P";"3000001234661";"10.400000";"7.700000";"1";"DOMAINE de Canta Rainette";"18";"0";
"122";"Vin ROUGE Cuvée Armony en cubi 5 litres";"SA-RO-UUN-NN-P";"3000001234678";"18.800000";"14.500000";"1";"DOMAINE de Canta Rainette";"14";"0";
"123";"Vin ROSE cuvée Aurore en cubi 5 litres";"SA-RO-UUN-NN-P";"3000001234685";"18.800000";"14.500000";"1";"DOMAINE de Canta Rainette";"16";"0";
"125";"Pain aux céréales (400g)";"OP-MV-UUN-NN-S";"";"3.300000";"2.900000";"0";"";"0";"1";
"126";"Graines germées MELANGE DETOX";"SS-RV-UUN-NN-S-G";"3683080002545";"2.650000";"2.110000";"0";"ECOGERME SA";"100";"0";
"127";"Graines germées de TREFLE POURPRE.";"SS-RV-UUN-NN-S-G";"3683080002545";"2.650000";"2.110000";"0";"ECOGERME SA";"100";"0";
"128";"Graines germées MELANGE VITALITE.";"SS-RV-UUN-NN-S-G";"3683080002545";"2.650000";"2.110000";"0";"ECOGERME SA";"100";"0";
"129";"Pain blanc allongé (environ 450g)";"OP-MV-UUN-NN-S";"";"3.400000";"2.600000";"0";"";"0";"1";
"134";"Farine de blé BIO type T.65 1 kg Moulin Pichard";"DG-RO-UUN-NN-P";"3572520000015";"1.950000";"1.470000";"1";"Moulin Pichard";"10";"0";
"135";"Farine de sarrasin complet 1 kg Moulin Pichard";"DG-RO-UUN-NN-P";"3572520000152";"3.300000";"2.380000";"1";"Moulin Pichard";"9";"0";
"136";"Farine de blé BIO type T.150 1 kg Moulin Pichard";"DG-RO-UUN-NN-P";"3572520000091";"1.750000";"1.410000";"1";"Moulin Pichard";"6";"0";
"137";"Fraises Cléry (en barquette de 250 g)";"FD-MN-UUN-NN-S";"";"3.100000";"2.500000";"0";"ORSO Manuel";"835";"0";
