Fournisseur;Actif;id;CB;UPC;Produit;Réference;Categorie;Prix Achat;Prix Vente;Unité de Vente;Quantité à la vente;
"";"Oui";"757";"";"";"Vente flash";"ZZZ";"Accueil";"0.00";"0.00";"";"806";
"";"Non";"29";"";"";"Chou chinois  BIO à la pièce";"LC-MV-UUN-NN-P";"Choux et navets";"1.80";"2.25";"Kg";"41";
"";"Non";"36";"";"";"Riz Long    à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"Pâtes, Riz, Autres céréales";"0.18";"0.22";"";"-6";
"";"Non";"41";"";"";"lentilles blondes  à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"Légumes secs";"0.20";"0.25";"Kg";"4";
"";"Non";"72";"";"";"Pain Bio aux olives et aux herbes locales  (450 g)";"OP-MV-UUN-NN-S";"Pains";"1.10";"4.00";"";"0";
"";"Non";"106";"";"";"Oranges amères";"FA-MN-KUN-NO";"Agrumes";"1.00";"1.20";"Kg";"0";
"";"Non";"125";"";"";"Pain aux céréales (400g)";"OP-MV-UUN-NN-S";"Pains";"2.90";"3.30";"unité";"0";
"";"Non";"129";"";"";"Pain blanc allongé (environ 450g)";"OP-MV-UUN-NN-S";"Accueil";"2.60";"3.40";"";"0";
"";"Non";"152";"";"";"Pain Le petit épeautre (environ 500 g)";"OP-MV-UUN-NN-S";"Pains";"4.90";"5.50";"kg";"0";
"";"Non";"154";"";"";"Pain de campagne (par 500g)";"OP-MV-UUN-NN-S";"Pains";"1.55";"2.30";"kg";"0";
"";"Non";"206";"";"";"Tomates Coeur de Boeuf - Roquebrune/Argens";"LT-MV-KUN-NO-P";"Accueil";"2.90";"3.50";"";"18";
"";"Non";"222";"";"";"Courgettes longues (au kg)";"LG-MN-KUN-NO";"Accueil";"1.80";"2.25";"";"63";
"";"Non";"223";"";"";"Betteraves cuites (au kg)";"LR-MN-KUN-NO-P";"Accueil";"2.50";"3.10";"";"74";
"";"Non";"235";"";"";"Carottes sable BIO (au kg)";"LR-MO-KUN-NO";"Accueil";"1.40";"2.00";"";"0";
"";"Non";"327";"";"";"Bouchons chocolat noir au Marc de Champagne";"DC-RO-UUN-NN-P";"Chocolat";"0.00";"0.00";"";"0";
"";"Non";"408";"";"";"Boule aux céréales et aux graines au levain naturel (au kg)";"OP-MV-UUN-NN-S";"";"5.50";"6.90";"kg";"981";
"";"Non";"438";"";"";"Vinaigre Larzamique à la Fleur de Sureau.   Exceptionnel";"SS-RO-UUN-NN-P";"Huiles , Vinaigres et Condiments";"6.45";"7.90";"";"1";
"";"Non";"439";"";"";"Vinaigre Larzamique à la Rose.  Exceptionnel. ";"SS-RO-UUN-NN-P";"Accueil";"6.45";"7.90";"";"0";
