Produit;Prix de vente;Unité de vente;Statut;Nb ventes;Montant total;Quantité totale déduite;
"Avocat BIO (au 500g)";"3.50";"500g";"Annulé";"1";"3.40";"0.97";
"Avocat BIO (au 500g)";"3.50";"500g";"Livré";"44";"149.67";"42.76";
"Citrons BIO (à l'hectogramme)";"0.29";"Kg";"Livré";"143";"193.34";"666.69";
"Clémentine BIO (au kg)";"2.95";"Kg";"Annulé";"1";"5.70";"1.93";
"Clémentine BIO (au kg)";"2.95";"Kg";"Livré";"171";"539.28";"182.81";
"Clémentine Tacle BIO (au kg)";"2.95";"Kg";"Livré";"39";"112.73";"38.21";
"Clémentine Tangeli BIO (au kg)";"2.90";"Kg";"Livré";"153";"478.55";"165.02";
"Clémentine Winola BIO (au kg)";"2.80";"Kg";"Livré";"49";"124.21";"44.36";
"Grenade BIO (au 500g)";"2.10";"500g";"Livré";"32";"66.68";"31.75";
"Mandarines BIO (au kg)";"3.00";"Kg";"Annulé";"3";"7.97";"2.66";
"Mandarines BIO (au kg)";"3.00";"Kg";"Livré";"165";"491.39";"163.80";
"Oranges amères (au kg)";"2.00";"Kg";"Livré";"2";"9.43";"4.72";
"Oranges Blondes BIO (au kg)";"2.30";"Kg";"Annulé";"2";"5.42";"2.36";
"Oranges Blondes BIO (au kg)";"2.30";"Kg";"Livré";"525";"1367.27";"594.47";
"Oranges Rouges Moro BIO (au kg)";"2.30";"Kg";"Annulé";"2";"5.12";"2.23";
"Oranges Rouges Moro BIO (au kg)";"2.30";"Kg";"En attente de paiement par chèque";"1";"2.34";"1.02";
"Oranges Rouges Moro BIO (au kg)";"2.30";"Kg";"Livré";"119";"315.47";"137.16";
"Oranges Rouges Sanguinelli BIO (au kg)";"2.00";"Kg";"Livré";"52";"119.36";"59.68";
"Oranges Rouges Tarocco BIO (au kg)";"1.90";"Kg";"Annulé";"4";"6.27";"3.30";
"Oranges Rouges Tarocco BIO (au kg)";"1.90";"Kg";"En attente de paiement par chèque";"2";"5.78";"3.04";
"Oranges Rouges Tarocco BIO (au kg)";"1.90";"Kg";"En cours de préparation";"2";"5.70";"3.00";
"Oranges Rouges Tarocco BIO (au kg)";"1.90";"Kg";"Livré";"299";"797.71";"419.85";
"Pamplemousses Roses BIO (au kg)";"2.80";"Kg";"Livré";"207";"517.11";"184.68";
"TOTAL entre 2018-12-01 et 2020-01-11";"Avocat BIO (au 500g)";"";"";"45";"153.07";"43.73";
"TOTAL entre 2018-11-04 et 2019-11-28";"Citrons BIO (à l'hectogramme)";"";"";"143";"193.34";"666.69";
"TOTAL entre 2018-11-03 et 2019-12-09";"Clémentine BIO (au kg)";"";"";"172";"544.98";"184.74";
"TOTAL entre 2018-12-02 et 2019-12-08";"Clémentine Tacle BIO (au kg)";"";"";"39";"112.73";"38.21";
"TOTAL entre 2019-01-05 et 2020-01-26";"Clémentine Tangeli BIO (au kg)";"";"";"153";"478.55";"165.02";
"TOTAL entre 2019-03-10 et 2019-05-02";"Clémentine Winola BIO (au kg)";"";"";"49";"124.21";"44.36";
"TOTAL entre 2018-12-01 et 2019-12-16";"Grenade BIO (au 500g)";"";"";"32";"66.68";"31.75";
"TOTAL entre 2019-01-05 et 2020-02-22";"Mandarines BIO (au kg)";"";"";"168";"499.36";"166.45";
"TOTAL entre 2019-01-07 et 2019-01-08";"Oranges amères (au kg)";"";"";"2";"9.43";"4.72";
"TOTAL entre 2018-11-03 et 2019-12-07";"Oranges Blondes BIO (au kg)";"";"";"527";"1372.69";"596.82";
"TOTAL entre 2019-01-05 et 2020-02-23";"Oranges Rouges Moro BIO (au kg)";"";"";"122";"322.93";"140.40";
"TOTAL entre 2019-03-16 et 2019-04-08";"Oranges Rouges Sanguinelli BIO (au kg)";"";"";"52";"119.36";"59.68";
"TOTAL entre 2018-12-02 et 2020-02-27";"Oranges Rouges Tarocco BIO (au kg)";"";"";"307";"815.46";"429.19";
"TOTAL entre 2018-11-17 et 2020-02-10";"Pamplemousses Roses BIO (au kg)";"";"";"207";"517.11";"184.68";
